parameter,fraction,units,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,type,use,water_type,standard_type,narrative,wqs_threshold,wqs_threshold_formula,wqs_threshold_x_column,wqs_threshold_y_column,statistic,min_n,block,direction,threshold,t,summarize_rows,summarize_rows_operator,class1,class2,class3,class4,class5,class6,class7
total_coliform,total,cfu/100ml,aa,fresh,all,nys; great_lakes,january-december,months,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 50 and 240",none,,none,none,pct_below_240,5,month,>=,80,percent,TRUE,&,aa,,,,,,
total_coliform,total,cfu/100ml,a-special,fresh,all,nys; great_lakes,january-december,months,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,water_quality_standard,"Geomean, of not less than five samples, take over not more than a 30 day period shall not exceed 1,000.",none,,none,none,geomean,5,month,<=,1000,cfu/100ml,FALSE,,a-special,,,,,,
total_coliform,total,cfu/100ml,d; c,fresh,all,nys; great_lakes,january-december,months,none,fishing,flow; pond,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,median,5,month,<=,2400,cfu/100ml,TRUE,&,d, c,,,,,
total_coliform,total,cfu/100ml,d; c,fresh,all,nys; great_lakes,january-december,months,none,fishing,flow; pond,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,pct_below_5000,5,month,>=,80,percent,TRUE,&,d, c,,,,,
total_coliform,total,cfu/100ml,b,fresh,all,nys; great_lakes,january-december,months,none,primary contact recreation; secondary contact recreation,flow; pond,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,median,5,month,<=,2400,cfu/100ml,TRUE,&,b,,,,,,
total_coliform,total,cfu/100ml,b,fresh,all,nys; great_lakes,january-december,months,none,primary contact recreation; secondary contact recreation,flow; pond,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,pct_below_5000,5,month,>=,80,percent,TRUE,&,b,,,,,,
total_coliform,total,cfu/100ml,a,fresh,all,nys; great_lakes,january-december,months,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,median,5,month,<=,2400,cfu/100ml,TRUE,&,a,,,,,,
total_coliform,total,cfu/100ml,a,fresh,all,nys; great_lakes,january-december,months,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,pct_below_5000,5,month,>=,80,percent,TRUE,&,a,,,,,,
total_coliform,total,cfu/100ml,sd; sc,saline,none,nys; great_lakes,january-december,months,none,fishing,flow,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,median,5,month,<=,2400,cfu/100ml,TRUE,&,sd, sc,,,,,
total_coliform,total,cfu/100ml,sd; sc,saline,none,nys; great_lakes,january-december,months,none,fishing,flow,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,pct_below_5000,5,month,>=,80,percent,TRUE,&,sd, sc,,,,,
total_coliform,total,cfu/100ml,i,saline,none,nys; great_lakes,january-december,months,none,fishing; secondary contact recreation,flow,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,median,5,month,<=,2400,cfu/100ml,TRUE,&,i,,,,,,
total_coliform,total,cfu/100ml,i,saline,none,nys; great_lakes,january-december,months,none,fishing; secondary contact recreation,flow,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,pct_below_5000,5,month,>=,80,percent,TRUE,&,i,,,,,,
total_coliform,total,cfu/100ml,sb,saline,none,nys; great_lakes,january-december,months,none,fishing; secondary contact recreation; primary contact recreation,flow,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,median,5,month,<=,2400,cfu/100ml,TRUE,&,sb,,,,,,
total_coliform,total,cfu/100ml,sb,saline,none,nys; great_lakes,january-december,months,none,fishing; secondary contact recreation; primary contact recreation,flow,water_quality_standard,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",none,,none,none,pct_below_5000,5,month,>=,80,percent,TRUE,&,sb,,,,,,
total_coliform,total,cfu/100ml,sa,saline,none,nys; great_lakes,january-december,months,none,shellfishing,flow,water_quality_standard,Median most probable number value in any series of representative samples shall not be in excess of 70,none,,none,none,median,1,month,<=,70,cfu/100ml,FALSE,,sa,,,,,,
zinc,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,exp(0.85 [ln(ppm hardness)] + 0.50),thresh_hardness_correction,function(x) exp(0.85 * log(x) + 0.50),result_numeric_hardness,none,none,1,single,<=,,ug/l,FALSE,,c, b, a, a-special, aa, aa-special,
zinc,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,0.978 exp(0.8473 [ln(ppm hardness)] + 0.884),thresh_hardness_correction,function(x) 0.978 * exp(0.8473 * log(x) + 0.884),result_numeric_hardness,none,none,1,single,<=,,ug/l,FALSE,,d, c, b, a, a-special, aa, aa-special
zinc,dissolved,ug/l,sc; i; sb; sa,saline,none,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow,water_quality_standard,66 ug/L,none,,none,none,none,1,single,<=,66,ug/l,FALSE,,sc, i, sb, sa,,,
zinc,dissolved,ug/l,sd,saline,none,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow,water_quality_standard,95 ug/L,none,,none,none,none,1,single,<=,95,ug/l,FALSE,,sd,,,,,,
