SITE_ID,chemical_name,sample_date,fraction,result_value,result_unit,validator_qualifiers,Project_name,sys_sample_code,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,lab_qualifiers,interpreted_qualifiers,sample_delivery_group,qaqc_date,SH_LATITUDE,SH_LONGITUDE,SH_WQ_STANDARD,SH_PWL_ID,X,INFO_TYPE
13-GUNK-0.4,PH,10/12/2017,total,7.76,pH units,A,Wallkill Special Study 2017,13-GVNK-0.4,PH,NA,pH units,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,PH,7/20/2017,total,8.17,pH units,A,Wallkill Special Study 2017,13GUNK-0.4_07202017_WS,PH,NA,pH units,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,PH,8/2/2017,total,7.91,pH units,A,Wallkill Special Study 2017,13GVNK-0.4_08022017_WS,PH,NA,pH units,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,PH,9/20/2017,total,7.87,pH units,A,Wallkill Special Study 2017,13-GUNK-0.4,PH,NA,pH units,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,PH,9/7/2017,total,8.11,pH units,A,Wallkill Special Study 2017,13GVNK-0.4,PH,NA,pH units,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",10/12/2017,total,0.09,mg/l,A,Wallkill Special Study 2017,13-GVNK-0.4,7723-14-0,0.002,mg/l,0.003,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",10/2/2018,total,0.04,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-10022018-W,7723-14-0,0.002,mg/l,0.005,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",7/10/2018,total,0.07,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-07102018-W,7723-14-0,0.002,mg/l,0.005,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",7/20/2017,total,0.07,mg/l,A,Wallkill Special Study 2017,13GUNK-0.4_07202017_WS,7723-14-0,0.002,mg/l,0.003,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",7/24/2018,total,0.07,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-07242018-WS,7723-14-0,0.002,mg/l,0.005,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",8/15/2018,total,0.07,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-08152018-W,7723-14-0,0.002,mg/l,0.005,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",8/2/2017,total,0.07,mg/l,A,Wallkill Special Study 2017,13GVNK-0.4_08022017_WS,7723-14-0,0.002,mg/l,0.003,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",9/20/2017,total,0.07,mg/l,A,Wallkill Special Study 2017,13-GUNK-0.4,7723-14-0,0.002,mg/l,0.003,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",9/6/2018,total,0.07,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-09062018-W,7723-14-0,0.002,mg/l,0.005,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"PHOSPHORUS, TOTAL (AS P)",9/7/2017,total,0.07,mg/l,A,Wallkill Special Study 2017,13GVNK-0.4,7723-14-0,0.002,mg/l,0.003,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,10/12/2017,total,NA,ug/l,U,Wallkill Special Study 2017,13-GVNK-0.4,7440-22-4,0.131,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,10/2/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-0.4-10022018-W,7440-22-4,0.039,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,7/10/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-0.4-07102018-W,7440-22-4,0.039,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,7/20/2017,total,NA,ug/l,U,Wallkill Special Study 2017,13GUNK-0.4_07202017_WS,7440-22-4,0.131,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,7/24/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-0.4-07242018-WS,7440-22-4,0.039,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,8/15/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-0.4-08152018-W,7440-22-4,0.039,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,8/2/2017,total,NA,ug/l,U,Wallkill Special Study 2017,13GVNK-0.4_08022017_WS,7440-22-4,0.131,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,9/20/2017,total,NA,ug/l,U,Wallkill Special Study 2017,13-GUNK-0.4,7440-22-4,0.131,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,9/6/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-0.4-09062018-W,7440-22-4,0.039,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Silver,9/7/2017,total,NA,ug/l,U,Wallkill Special Study 2017,13GVNK-0.4,7440-22-4,0.131,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Temperature of pH Analysis,10/12/2017,total,19.4,deg c,A,Wallkill Special Study 2017,13-GVNK-0.4,TEMP,NA,deg c,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Temperature of pH Analysis,7/20/2017,total,22.2,deg c,A,Wallkill Special Study 2017,13GUNK-0.4_07202017_WS,TEMP,NA,deg c,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Temperature of pH Analysis,8/2/2017,total,20.8,deg c,A,Wallkill Special Study 2017,13GVNK-0.4_08022017_WS,TEMP,NA,deg c,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Temperature of pH Analysis,9/20/2017,total,26.1,deg c,A,Wallkill Special Study 2017,13-GUNK-0.4,TEMP,NA,deg c,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Temperature of pH Analysis,9/7/2017,total,19.5,deg c,A,Wallkill Special Study 2017,13GVNK-0.4,TEMP,NA,deg c,NA,H,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",10/12/2017,total,178,mg/l,A,Wallkill Special Study 2017,13-GVNK-0.4,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",10/2/2018,total,115,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-10022018-W,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/10/2018,total,172,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-07102018-W,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/20/2017,total,160,mg/l,A,Wallkill Special Study 2017,13GUNK-0.4_07202017_WS,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",7/24/2018,total,127,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-07242018-WS,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",8/15/2018,total,111,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-08152018-W,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",8/2/2017,total,160,mg/l,A,Wallkill Special Study 2017,13GVNK-0.4_08022017_WS,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",9/20/2017,total,175,mg/l,A,Wallkill Special Study 2017,13-GUNK-0.4,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",9/6/2018,total,174,mg/l,A,Wallkill RAS 2018,13-GUNK-0.4-09062018-W,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",9/7/2017,total,160,mg/l,A,Wallkill Special Study 2017,13GVNK-0.4,TDS,4,mg/l,10,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,10/12/2017,total,2.69,ntu,J,Wallkill Special Study 2017,13-GVNK-0.4,TURB,0.06,ntu,0.1,,estimated value due to Equipment Blank error,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,10/2/2018,total,2.85,ntu,A,Wallkill RAS 2018,13-GUNK-0.4-10022018-W,TURB,0.06,ntu,0.1,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,7/10/2018,total,6.08,ntu,A,Wallkill RAS 2018,13-GUNK-0.4-07102018-W,TURB,0.06,ntu,0.1,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,7/20/2017,total,1.01,ntu,R,Wallkill Special Study 2017,13GUNK-0.4_07202017_WS,TURB,0.06,ntu,0.1,,Equipment Blank error ; Holding Time error,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,7/24/2018,total,18.6,ntu,A,Wallkill RAS 2018,13-GUNK-0.4-07242018-WS,TURB,0.06,ntu,0.1,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,8/15/2018,total,9.84,ntu,A,Wallkill RAS 2018,13-GUNK-0.4-08152018-W,TURB,0.06,ntu,0.1,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,8/2/2017,total,5.76,ntu,A,Wallkill Special Study 2017,13GVNK-0.4_08022017_WS,TURB,0.06,ntu,0.1,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,9/20/2017,total,4.06,ntu,A,Wallkill Special Study 2017,13-GUNK-0.4,TURB,0.06,ntu,0.1,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,9/6/2018,total,3.67,ntu,J,Wallkill RAS 2018,13-GUNK-0.4-09062018-W,TURB,0.06,ntu,0.1,,estimated value due to Equipment Blank error,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,TURBIDITY,9/7/2017,total,17,ntu,A,Wallkill Special Study 2017,13GVNK-0.4,TURB,0.06,ntu,0.1,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,10/12/2017,total,NA,ug/l,U,Wallkill Special Study 2017,13-GVNK-0.4,7440-66-6,3,ug/l,5,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,10/2/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-0.4-10022018-W,7440-66-6,2.5,ug/l,5,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,7/10/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-0.4-07102018-W,7440-66-6,2.5,ug/l,5,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,7/20/2017,total,7.6,ug/l,A,Wallkill Special Study 2017,13GUNK-0.4_07202017_WS,7440-66-6,3,ug/l,5,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,7/24/2018,total,7.8,ug/l,A,Wallkill RAS 2018,13-GUNK-0.4-07242018-WS,7440-66-6,2.5,ug/l,5,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,8/15/2018,total,11.3,ug/l,A,Wallkill RAS 2018,13-GUNK-0.4-08152018-W,7440-66-6,2.5,ug/l,5,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,8/2/2017,total,NA,ug/l,R,Wallkill Special Study 2017,13GVNK-0.4_08022017_WS,7440-66-6,3,ug/l,5,U,Analyte was analyzed for but not detected ; Precision error,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,9/20/2017,total,NA,ug/l,U,Wallkill Special Study 2017,13-GUNK-0.4,7440-66-6,3,ug/l,5,U,Analyte was analyzed for but not detected,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,9/6/2018,total,8.9,ug/l,A,Wallkill RAS 2018,13-GUNK-0.4-09062018-W,7440-66-6,2.5,ug/l,5,,,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-0.4,Zinc,9/7/2017,total,3.7,ug/l,J,Wallkill Special Study 2017,13GVNK-0.4,7440-66-6,3,ug/l,5,J,estimated value due to lab error,NA,NA,41.68722,-74.17278,B,1306-0045,NA,NA
13-GUNK-37.7,"ALKALINITY, TOTAL (AS CaCO3)",10/3/2018,total,35.6,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,ALK,1,mg/l,2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,"ALKALINITY, TOTAL (AS CaCO3)",7/11/2018,total,181,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,ALK,1,mg/l,2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,"ALKALINITY, TOTAL (AS CaCO3)",7/25/2018,total,35.2,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,ALK,1,mg/l,2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,"ALKALINITY, TOTAL (AS CaCO3)",8/16/2018,total,45.2,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,ALK,1,mg/l,2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,"ALKALINITY, TOTAL (AS CaCO3)",9/5/2018,total,60,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,ALK,1,mg/l,2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Aluminum,10/3/2018,total,363,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,7429-90-5,11.5,ug/l,50,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Aluminum,7/11/2018,total,419,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,7429-90-5,11.5,ug/l,50,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Aluminum,7/25/2018,total,125,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,7429-90-5,2.3,ug/l,10,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Aluminum,8/16/2018,total,97,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,7429-90-5,2.3,ug/l,10,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Aluminum,9/5/2018,total,122,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,7429-90-5,2.3,ug/l,10,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Arsenic,10/3/2018,total,0.6,ug/l,J,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,7440-38-2,0.39,ug/l,1,J,estimated value due to lab error,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Arsenic,7/11/2018,total,7.3,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,7440-38-2,0.39,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Arsenic,7/25/2018,total,1.4,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,7440-38-2,0.39,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Arsenic,8/16/2018,total,0.95,ug/l,J,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,7440-38-2,0.39,ug/l,1,J,estimated value due to lab error,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Arsenic,9/5/2018,total,1.6,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,7440-38-2,0.39,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Cadmium,10/3/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,7440-43-9,0.064,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Cadmium,7/11/2018,total,0.09,ug/l,J,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,7440-43-9,0.064,ug/l,1,J,estimated value due to lab error,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Cadmium,7/25/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,7440-43-9,0.064,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Cadmium,8/16/2018,total,0.6,ug/l,J,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,7440-43-9,0.064,ug/l,1,J,estimated value due to lab error,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Cadmium,9/5/2018,total,NA,ug/l,U,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,7440-43-9,0.064,ug/l,1,U,Analyte was analyzed for but not detected,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Calcium,10/3/2018,total,12100,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,7440-70-2,110,ug/l,1000,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Calcium,7/11/2018,total,62700,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,7440-70-2,110,ug/l,1000,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Calcium,7/25/2018,total,17800,ug/l,J,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,7440-70-2,110,ug/l,1000,E,estimated value due to lab error,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Calcium,8/16/2018,total,15600,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,7440-70-2,110,ug/l,1000,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Calcium,9/5/2018,total,21100,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,7440-70-2,110,ug/l,1000,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,CHLORIDE (AS CL),10/3/2018,total,23.9,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,16887-00-6,0.2,mg/l,2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,CHLORIDE (AS CL),7/11/2018,total,275,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,16887-00-6,2,mg/l,20,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,CHLORIDE (AS CL),7/25/2018,total,41.5,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,16887-00-6,0.2,mg/l,2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,CHLORIDE (AS CL),8/16/2018,total,34.3,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,16887-00-6,0.2,mg/l,2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,CHLORIDE (AS CL),9/5/2018,total,45.9,mg/l,R,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,16887-00-6,0.2,mg/l,2,,Accuracy error,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Chlorophyll A,10/3/2018,total,1.19,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,479-61-8,NA,ug/l,0.08,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Chlorophyll A,7/11/2018,total,14.2,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,479-61-8,NA,ug/l,0.8,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Chlorophyll A,7/25/2018,total,38.6,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,479-61-8,NA,ug/l,1.2,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Chlorophyll A,8/16/2018,total,1.73,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,479-61-8,NA,ug/l,0.063,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Chlorophyll A,9/5/2018,total,5.78,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,479-61-8,NA,ug/l,0.4,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Copper,10/3/2018,total,2.3,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,7440-50-8,0.66,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Copper,7/11/2018,total,7.8,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,7440-50-8,0.66,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Copper,7/25/2018,total,2.9,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,7440-50-8,0.66,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Copper,8/16/2018,total,4.4,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,7440-50-8,0.66,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Copper,9/5/2018,total,2.6,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,7440-50-8,0.66,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,HARDNESS (AS CACO3),10/3/2018,total,40.3,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,HARD,NA,mg/l,6.62,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,HARDNESS (AS CACO3),7/11/2018,total,197,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,HARD,NA,mg/l,6.62,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,HARDNESS (AS CACO3),7/25/2018,total,58.1,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,HARD,NA,mg/l,6.62,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,HARDNESS (AS CACO3),8/16/2018,total,50.6,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,HARD,NA,mg/l,6.62,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,HARDNESS (AS CACO3),9/5/2018,total,68.2,mg/l,A,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,HARD,NA,mg/l,6.62,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Iron,10/3/2018,total,593,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,7439-89-6,13,ug/l,100,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Iron,7/11/2018,total,6520,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,7439-89-6,13,ug/l,100,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Iron,7/25/2018,total,776,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07252018-WS,7439-89-6,13,ug/l,100,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Iron,8/16/2018,total,707,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-081618-WS,7439-89-6,13,ug/l,100,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Iron,9/5/2018,total,1390,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-09052018-W,7439-89-6,13,ug/l,100,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Lead,10/3/2018,total,0.47,ug/l,J,Wallkill RAS 2018,13-GUNK-37.7-10032018-W,7439-92-1,0.067,ug/l,1,J,estimated value due to lab error,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
13-GUNK-37.7,Lead,7/11/2018,total,2.2,ug/l,A,Wallkill RAS 2018,13-GUNK-37.7-07112018-W,7439-92-1,0.067,ug/l,1,,,NA,NA,41.441342,-74.529772,B,1306-0047,NA,NA
