"MACRO_SPECIES_SAMP_INF_HIST_ID","MMDH_RICHNESS","MMDH_RICHNESS_SCORE","MMDH_EPT_RICH","MMDH_EPT_SCORE","MMDH_HBI_INDEX","MMDH_HBI_SCORE","MMDH_SHANNON","MMDH_SHANNON_SCORE","MMDH_BIO_ASMT_PROFILE_SCORE","MMDH_PCT_MODEL_AFFINITY","MMDH_PCT_MODEL_AFFINITY_SCORE","MMDH_NUTRIENT_BIOTIC_INDEX_P","MMDH_NBI_P_SCORE","MMDH_NCO_RICH","MMDH_NCO_RICH_SCORE","MMDH_PCT_DOMINANCE_3","MMDH_PCT_DOMINANCE_3_SCORE","MSSIH_EVENT_SMAS_HISTORY_ID","MSSIH_EVENT_SMAS_SAMPLE_DATE","MSSIH_BIOSAMPLE_COLLECT_METHOD_NUM","BIOSAMPLE_COLLECT_METHOD"
"03-SALM-3.9_20150722_1_1",25,7.06,13,9,4.66,7.3,NA,NA,7,72,8.27,6.65,3.37,NA,NA,NA,NA,"03-SALM-3.9","7/22/2015",1,"Kick:Standard"
"03-SALM-7.8_19890815_1_1",19,5.29,10,7.27,4.19,7.81,NA,NA,7.32,75,8.56,4.84,7.66,NA,NA,NA,NA,"03-SALM-7.8","8/15/1989",1,"Kick:Standard"
"03-SALM-7.8_19900606_1_1",35,10,22,10,2.85,9.15,NA,NA,9.39,80,9.04,3.72,8.78,NA,NA,NA,NA,"03-SALM-7.8","6/6/1990",1,"Kick:Standard"
"03-SALM-7.8_19960813_1_1",27,7.78,18,10,4.22,7.78,NA,NA,8.05,73,8.37,5.48,6.3,NA,NA,NA,NA,"03-SALM-7.8","8/13/1996",1,"Kick:Standard"
"03-SALM-7.8_19990715_1_1",26,7.35,15,10,3.96,8.04,NA,NA,8.45,80,9.04,4.69,7.81,NA,NA,NA,NA,"03-SALM-7.8","7/15/1999",1,"Kick:Standard"
"03-SALM-7.8_20010912_1_1",25,7.06,19,10,3.51,8.49,NA,NA,8.25,69,7.98,4.77,7.73,NA,NA,NA,NA,"03-SALM-7.8","9/12/2001",1,"Kick:Standard"
"03-SALM-7.8_20060725_1_1",35,10,17,10,3.09,8.91,NA,NA,9.08,73,8.37,4.4,8.1,NA,NA,NA,NA,"03-SALM-7.8","7/25/2006",1,"Kick:Standard"
"03-SALM-7.8_20070829_1_1",27,7.78,14,9.5,4.15,7.85,NA,NA,8.49,85,9.52,4.71,7.79,NA,NA,NA,NA,"03-SALM-7.8","8/29/2007",1,"Kick:Standard"
"03-SALM-7.8_20120712_1_1",27,7.78,18,10,3.81,8.19,NA,NA,7.67,66,7.69,6.12,4.7,NA,NA,NA,NA,"03-SALM-7.8","7/12/2012",1,"Kick:Standard"
"03-SALM-7.8_20150723_1_1",27,7.78,12,8.5,4.29,7.71,NA,NA,7.68,76,8.65,5.69,5.77,NA,NA,NA,NA,"03-SALM-7.8","7/23/2015",1,"Kick:Standard"
"03-SALM_E-1.8_20150722_1_1",23,6.47,17,10,2.26,9.74,NA,NA,8.79,81,9.13,3.91,8.59,NA,NA,NA,NA,"03-SALM_E-1.8","7/22/2015",1,"Kick:Standard"
"03-SALM_N-0.8_20060725_1_1",28,8.06,11,8,4.45,7.55,NA,NA,7.64,70,8.08,5.4,6.5,NA,NA,NA,NA,"03-SALM_N-0.8","7/25/2006",1,"Kick:Standard"
"03-SALM_N-0.8_20150722_1_1",30,8.61,18,10,3.97,8.03,NA,NA,8.76,85,9.52,4.86,7.64,NA,NA,NA,NA,"03-SALM_N-0.8","7/22/2015",1,"Kick:Standard"
"03-SAMC-16.6_20150722_1_1",21,5.88,7,5.91,4.56,7.43,NA,NA,5.82,71,8.17,7.31,1.73,NA,NA,NA,NA,"03-SAMC-16.6","7/22/2015",1,"Kick:Standard"
"03-SAMC-5.8_19990916_1_1",16,4.26,5,4.72,4.94,6.95,NA,NA,4.87,48,4.76,6.53,3.67,NA,NA,NA,NA,"03-SAMC-5.8","9/16/1999",1,"Kick:Standard"
"03-SAMC-5.8_20040914_1_1",27,7.78,9,6.82,5.22,6.6,NA,NA,6.01,58,6.45,7.05,2.38,NA,NA,NA,NA,"03-SAMC-5.8","9/14/2004",1,"Kick:Standard"
"03-SAMC-5.8_20150722_1_1",24,6.76,6,5.45,5.31,6.49,NA,NA,5.71,64,7.42,7.03,2.42,NA,NA,NA,NA,"03-SAMC-5.8","7/22/2015",1,"Kick:Standard"
"03-SAMC-9.3_20150722_1_1",21,5.88,10,7.27,4.95,6.94,NA,NA,5.87,58,6.45,6.87,2.82,NA,NA,NA,NA,"03-SAMC-9.3","7/22/2015",1,"Kick:Standard"
"03-SAND-11.4_19970819_1_1",26,7.35,11,8,4.93,6.96,NA,NA,6.25,52,5.48,6.62,3.45,NA,NA,NA,NA,"03-SAND-11.4","8/19/1997",1,"Kick:Standard"
"03-SAND-13.8_20120711_1_1",18,4.85,10,7.27,4.63,7.34,NA,NA,5.3,34,2.41,6.15,4.62,NA,NA,NA,NA,"03-SAND-13.8","7/11/2012",1,"Kick:Standard"
"03-SAND-16.4_19970819_1_1",21,5.88,9,6.82,4.58,7.4,NA,NA,6.73,70,8.08,5.82,5.45,NA,NA,NA,NA,"03-SAND-16.4","8/19/1997",1,"Kick:Standard"
"03-SAND-16.4_20020826_1_1",24,6.76,11,8,4.44,7.56,NA,NA,7.12,67,7.79,5.8,5.5,NA,NA,NA,NA,"03-SAND-16.4","8/26/2002",1,"Kick:Standard"
"03-SAND-16.4_20120712_1_1",22,6.18,11,8,4.44,7.56,NA,NA,5.94,44,4.11,6.47,3.83,NA,NA,NA,NA,"03-SAND-16.4","7/12/2012",1,"Kick:Standard"
"03-SAND-2.7_19960917_1_1",22,6.18,11,8,5.02,6.85,NA,NA,5.83,38,3.15,6.02,4.95,NA,NA,NA,NA,"03-SAND-2.7","9/17/1996",1,"Kick:Standard"
"03-SAND-2.7_19970819_1_1",22,6.18,9,6.82,5.41,6.36,NA,NA,5.62,52,5.48,6.69,3.27,NA,NA,NA,NA,"03-SAND-2.7","8/19/1997",1,"Kick:Standard"
"03-SAND-2.7_20020826_1_1",17,4.56,5,4.72,4.99,6.89,NA,NA,5.87,65,7.6,5.77,5.58,NA,NA,NA,NA,"03-SAND-2.7","8/26/2002",1,"Kick:Standard"
"03-SAND-2.7_20081001_1_1",30,8.61,11,8,5.06,6.8,NA,NA,7.41,78,8.85,6.08,4.8,NA,NA,NA,NA,"03-SAND-2.7","10/1/2008",1,"Kick:Standard"
"03-SAND-2.7_20120712_1_1",20,5.59,9,6.82,4.49,7.51,NA,NA,6.2,61,6.94,6.34,4.15,NA,NA,NA,NA,"03-SAND-2.7","7/12/2012",1,"Kick:Standard"
"03-SAND-2.7_20130821_1_1",19,5.29,8,6.36,5.16,6.67,NA,NA,6.83,72,8.27,4.96,7.54,NA,NA,NA,NA,"03-SAND-2.7","8/21/2013",1,"Kick:Standard"
"03-SAND-2.7_20150722_1_1",22,6.18,11,8,5.69,6.01,NA,NA,5.56,57,6.29,7.48,1.3,NA,NA,NA,NA,"03-SAND-2.7","7/22/2015",1,"Kick:Standard"
"03-SAND-20.8_19970820_1_1",22,6.18,6,5.45,4.95,6.94,NA,NA,5.97,58,6.45,6.06,4.85,NA,NA,NA,NA,"03-SAND-20.8","8/20/1997",1,"Kick:Standard"
"03-SAND-20.8_20080807_1_1",39,10,13,9,4.66,7.3,NA,NA,8.21,74,8.46,5.49,6.27,NA,NA,NA,NA,"03-SAND-20.8","8/7/2008",1,"Kick:Standard"
"03-SAND-29.3_20150721_1_1",28,8.06,12,8.5,4.9,7,NA,NA,6.89,61,6.94,6.41,3.97,NA,NA,NA,NA,"03-SAND-29.3","7/21/2015",1,"Kick:Standard"
"03-SAND-8.4_20150721_1_1",22,6.18,12,8.5,5.2,6.62,NA,NA,6.24,65,7.6,7.09,2.28,NA,NA,NA,NA,"03-SAND-8.4","7/21/2015",1,"Kick:Standard"
"03-SAND_T11-1.5_20150721_1_1",27,7.78,12,8.5,3.88,8.12,NA,NA,7.56,63,7.26,5.55,6.12,NA,NA,NA,NA,"03-SAND_T11-1.5","7/21/2015",1,"Kick:Standard"
"03-SAND_T14-0.3_20120712_1_1",21,5.88,10,7.27,3.65,8.35,NA,NA,6.51,51,5.32,5.71,5.72,NA,NA,NA,NA,"03-SAND_T14-0.3","7/12/2012",1,"Kick:Standard"
"03-SAND_T14-0.3_20130821_1_1",26,7.35,14,9.5,4.41,7.59,NA,NA,7.3,59,6.61,5.82,5.45,NA,NA,NA,NA,"03-SAND_T14-0.3","8/21/2013",1,"Kick:Standard"
"03-SDUS-2.5_20010911_1_1",20,5.59,9,6.82,4.15,7.85,NA,NA,6.46,65,7.6,6.22,4.45,NA,NA,NA,NA,"03-SDUS-2.5","9/11/2001",1,"Kick:Standard"
"03-SDUS-2.5_20060726_1_1",20,5.59,10,7.27,4.75,7.19,NA,NA,5.76,48,4.76,6.41,3.97,NA,NA,NA,NA,"03-SDUS-2.5","7/26/2006",1,"Kick:Standard"
"03-SDUS-2.5_20070829_1_1",23,6.47,8,6.36,4.45,7.55,NA,NA,5.93,62,7.1,7.14,2.15,NA,NA,NA,NA,"03-SDUS-2.5","8/29/2007",1,"Kick:Standard"
"03-SDUS-2.5_20150723_1_1",22,6.18,9,6.82,5.12,6.72,NA,NA,5.52,50,5.16,6.92,2.7,NA,NA,NA,NA,"03-SDUS-2.5","7/23/2015",1,"Kick:Standard"
"03-SHIP-0.1_19990812_1_1",17,4.56,2,3.06,6.02,5.6,NA,NA,4.03,50,5.16,7.3,1.75,NA,NA,NA,NA,"03-SHIP-0.1","8/12/1999",1,"Kick:Standard"
"03-SHIP-0.1_20150722_1_1",16,4.26,5,4.72,5.62,6.1,NA,NA,4.38,52,5.48,7.46,1.35,NA,NA,NA,NA,"03-SHIP-0.1","7/22/2015",1,"Kick:Standard"
"03-SHIP_T2-0.4_20090730_1_1",20,5.59,1,1.25,6.1,5.5,NA,NA,3.2,34,2.41,7.5,1.25,NA,NA,NA,NA,"03-SHIP_T2-0.4","7/30/2009",1,"Kick:Standard"
"03-SHIP_T2-0.4_20150722_1_1",16,4.26,3,3.61,5.37,6.41,NA,NA,4.54,56,6.13,7.08,2.3,NA,NA,NA,NA,"03-SHIP_T2-0.4","7/22/2015",1,"Kick:Standard"
"03-SKIN-11.6_20150721_1_1",34,9.72,22,10,3.37,8.63,NA,NA,9.1,86,9.62,4.96,7.54,NA,NA,NA,NA,"03-SKIN-11.6","7/21/2015",1,"Kick:Standard"
"03-SKIN-2.6_20070925_1_1",16,4.26,4,4.17,5.76,5.93,NA,NA,4.41,51,5.32,7.05,2.38,NA,NA,NA,NA,"03-SKIN-2.6","9/25/2007",1,"Kick:Standard"
"03-SKIN-2.6_20150722_1_1",27,7.78,16,10,4.33,7.67,NA,NA,8.04,78,8.85,5.64,5.9,NA,NA,NA,NA,"03-SKIN-2.6","7/22/2015",1,"Kick:Standard"
"03-SKIN_T4-1.1_20150722_1_1",30,8.61,11,8,4.3,7.7,NA,NA,7.58,71,8.17,5.83,5.42,NA,NA,NA,NA,"03-SKIN_T4-1.1","7/22/2015",1,"Kick:Standard"
"03-SKIN_T4-2.6_20150722_1_1",25,7.06,13,9,4.23,7.77,NA,NA,7.23,71,8.17,6.35,4.13,NA,NA,NA,NA,"03-SKIN_T4-2.6","7/22/2015",1,"Kick:Standard"
"03-SKIN_T5-0.2_20150721_1_1",25,7.06,13,9,3.72,8.28,NA,NA,8.04,73,8.37,5,7.5,NA,NA,NA,NA,"03-SKIN_T5-0.2","7/21/2015",1,"Kick:Standard"
"03-SLTR-0.1_20040915_1_1",10,2.31,1,1.25,6.53,4.96,NA,NA,2.24,35,2.66,8,0,NA,NA,NA,NA,"03-SLTR-0.1","9/15/2004",1,"Kick:Standard"
"03-SLTR-1.5_19990916_1_1",11,2.79,0,0,8.78,2.03,NA,NA,1.5,35,2.66,8.44,0,NA,NA,NA,NA,"03-SLTR-1.5","9/16/1999",1,"Kick:Standard"
"03-SLTR-1.5_20000809_1_1",11,2.79,0,0,7.09,4.26,NA,NA,1.94,35,2.66,8.01,0,NA,NA,NA,NA,"03-SLTR-1.5","8/9/2000",1,"Kick:Standard"
"03-SLTR-1.5_20080904_1_1",22,6.18,0,0,7.33,3.96,NA,NA,2.93,35,2.66,7.26,1.85,NA,NA,NA,NA,"03-SLTR-1.5","9/4/2008",1,"Kick:Standard"
"03-SLTR-1.5_20150722_1_1",9,1.92,3,3.61,6.17,5.41,NA,NA,2.91,33,2.24,7.45,1.37,NA,NA,NA,NA,"03-SLTR-1.5","7/22/2015",1,"Kick:Standard"
"03-SNAE-1.4_20120712_1_1",24,6.76,13,9,4.8,7.12,NA,NA,6.31,36,2.82,5.66,5.85,NA,NA,NA,NA,"03-SNAE-1.4","7/12/2012",1,"Kick:Standard"
"03-SNAE-1.4_20150722_1_1",31,8.89,15,10,5.03,6.84,NA,NA,7.61,68,7.88,6.23,4.42,NA,NA,NA,NA,"03-SNAE-1.4","7/22/2015",1,"Kick:Standard"
"03-SNDY-1.1_20040914_1_1",16,4.26,6,5.45,5.87,5.79,NA,NA,4.56,53,5.65,7.35,1.63,NA,NA,NA,NA,"03-SNDY-1.1","9/14/2004",1,"Kick:Standard"
"03-SNDY-1.1_20060620_1_1",16,4.26,3,3.61,5.65,6.06,NA,NA,3.85,45,4.27,7.59,1.03,NA,NA,NA,NA,"03-SNDY-1.1","6/20/2006",1,"Kick:Standard"
"03-SNDY-11.7_20060620_1_1",20,5.59,7,5.91,5.55,6.19,NA,NA,5.14,54,5.81,7.12,2.2,NA,NA,NA,NA,"03-SNDY-11.7","6/20/2006",1,"Kick:Standard"
"03-SNDY-3.4_20140701_6_1",21,7.27,9,9.5,5.5,7.5,NA,NA,8.32,NA,NA,NA,NA,13,9,NA,NA,"03-SNDY-3.4","7/1/2014",6,"Kick:Sandy_Stream"
"03-SNDY-3.4_20150722_1_1",14,3.68,4,4.17,5.6,6.12,NA,NA,4.04,44,4.11,7.15,2.12,NA,NA,NA,NA,"03-SNDY-3.4","7/22/2015",1,"Kick:Standard"
"03-SNDY-5.8_19950822_1_1",20,5.59,7,5.91,4.75,7.19,NA,NA,5.55,62,7.1,7.21,1.98,NA,NA,NA,NA,"03-SNDY-5.8","8/22/1995",1,"Kick:Standard"
"03-SNDY-5.8_20060620_1_1",16,4.26,5,4.72,5.51,6.24,NA,NA,4.51,49,4.92,7.03,2.42,NA,NA,NA,NA,"03-SNDY-5.8","6/20/2006",1,"Kick:Standard"
"03-SNDY-5.8_20150722_1_1",22,6.18,9,6.82,5.3,6.5,NA,NA,5.82,58,6.45,6.74,3.15,NA,NA,NA,NA,"03-SNDY-5.8","7/22/2015",1,"Kick:Standard"
"03-SNDY_E-0.2_20060620_1_1",22,6.18,7,5.91,5.49,6.26,NA,NA,5.23,51,5.32,7,2.5,NA,NA,NA,NA,"03-SNDY_E-0.2","6/20/2006",1,"Kick:Standard"
"03-SNDY_E-0.2_20150722_1_1",20,5.59,7,5.91,5.73,5.96,NA,NA,4.97,49,4.92,7.02,2.45,NA,NA,NA,NA,"03-SNDY_E-0.2","7/22/2015",1,"Kick:Standard"
"03-SNDY_E-5.2_20060620_1_1",18,4.85,3,3.61,5.17,6.66,NA,NA,4.14,38,3.15,7.02,2.45,NA,NA,NA,NA,"03-SNDY_E-5.2","6/20/2006",1,"Kick:Standard"
"03-SNDY_E-6.9_20060705_1_1",15,3.97,4,4.17,5.48,6.27,NA,NA,3.88,39,3.31,7.32,1.7,NA,NA,NA,NA,"03-SNDY_E-6.9","7/5/2006",1,"Kick:Standard"
"03-SNDY_E-9.0_20060619_1_1",14,3.68,8,6.36,4.49,7.51,NA,NA,5.2,44,4.11,6.27,4.33,NA,NA,NA,NA,"03-SNDY_E-9.0","6/19/2006",1,"Kick:Standard"
"03-SNDY_E-9.0_20150722_1_1",21,5.88,10,7.27,4.68,7.28,NA,NA,6.23,57,6.29,6.22,4.45,NA,NA,NA,NA,"03-SNDY_E-9.0","7/22/2015",1,"Kick:Standard"
"03-SNDY_W-0.5_20060620_1_1",24,6.76,7,5.91,5.47,6.29,NA,NA,5.56,54,5.81,6.79,3.02,NA,NA,NA,NA,"03-SNDY_W-0.5","6/20/2006",1,"Kick:Standard"
"03-SOYB-0.1_20060725_1_1",27,7.78,13,9,3.45,8.55,NA,NA,8.59,86,9.62,4.5,8,NA,NA,NA,NA,"03-SOYB-0.1","7/25/2006",1,"Kick:Standard"
"03-SSAN-6.3_20020826_1_1",18,4.85,11,8,3.96,8.04,NA,NA,7.09,77,8.75,5.67,5.83,NA,NA,NA,NA,"03-SSAN-6.3","8/26/2002",1,"Kick:Standard"
"03-SSAN-6.3_20030904_1_1",23,6.47,17,10,3.9,8.1,NA,NA,7.93,73,8.37,5.31,6.73,NA,NA,NA,NA,"03-SSAN-6.3","9/4/2003",1,"Kick:Standard"
"03-SSAN-6.3_20120712_1_1",28,8.06,16,10,4.09,7.91,NA,NA,7.11,50,5.16,6.23,4.42,NA,NA,NA,NA,"03-SSAN-6.3","7/12/2012",1,"Kick:Standard"
"03-SSAN-6.3_20130821_1_1",19,5.29,14,9.5,4.67,7.29,NA,NA,6.83,70,8.08,6.41,3.97,NA,NA,NA,NA,"03-SSAN-6.3","8/21/2013",1,"Kick:Standard"
"03-SSAN-6.3_20150722_1_1",23,6.47,13,9,4.6,7.38,NA,NA,7.07,72,8.27,6.31,4.23,NA,NA,NA,NA,"03-SSAN-6.3","7/22/2015",1,"Kick:Standard"
"03-SSAN_T10-0.7_20150721_1_1",27,7.78,7,5.91,4.35,7.65,NA,NA,6.4,56,6.13,6.18,4.55,NA,NA,NA,NA,"03-SSAN_T10-0.7","7/21/2015",1,"Kick:Standard"
"03-STNE-12.1_19960917_1_1",30,8.61,9,6.82,5.32,6.47,NA,NA,6.34,60,6.77,6.78,3.05,NA,NA,NA,NA,"03-STNE-12.1","9/17/1996",1,"Kick:Standard"
"03-STNE-12.1_20150722_1_1",21,5.88,8,6.36,4.73,7.21,NA,NA,5.48,39,3.31,6.15,4.62,NA,NA,NA,NA,"03-STNE-12.1","7/22/2015",1,"Kick:Standard"
"03-STNE-2.4_20120711_6_1",27,10,5,7,6.02,6.63,NA,NA,8.41,NA,NA,NA,NA,18,10,NA,NA,"03-STNE-2.4","7/11/2012",6,"Kick:Sandy_Stream"
"03-STNE-3.8_20070925_1_1",15,3.97,3,3.61,6.68,4.78,NA,NA,3.09,24,0.69,7.03,2.42,NA,NA,NA,NA,"03-STNE-3.8","9/25/2007",1,"Kick:Standard"
"03-STNE-3.8_20170921_1_1",12,3.09,4,4.17,6.24,5.32,NA,NA,3.24,34,2.41,7.52,1.2,NA,NA,NA,NA,"03-STNE-3.8","9/21/2017",1,"Kick:Standard"
"03-STNE-5.8_20120711_6_1",24,9,6,8,5.9,6.83,NA,NA,8.46,NA,NA,NA,NA,16,10,NA,NA,"03-STNE-5.8","7/11/2012",6,"Kick:Sandy_Stream"
"03-STRL-4.3_20010911_1_1",20,5.59,10,7.27,5.01,6.86,NA,NA,6.52,72,8.27,6.16,4.6,NA,NA,NA,NA,"03-STRL-4.3","9/11/2001",1,"Kick:Standard"
"03-STRL-4.3_20020820_1_1",24,6.76,12,8.5,4.96,6.92,NA,NA,6.64,65,7.6,6.64,3.4,NA,NA,NA,NA,"03-STRL-4.3","8/20/2002",1,"Kick:Standard"
"03-STRL-4.3_20060726_1_1",18,4.85,1,1.25,5.78,5.9,NA,NA,3.35,48,4.76,8,0,NA,NA,NA,NA,"03-STRL-4.3","7/26/2006",1,"Kick:Standard"
"03-SVAL-3.5_20010911_1_1",20,5.59,9,6.82,4.63,7.34,NA,NA,6.29,59,6.61,5.97,5.08,NA,NA,NA,NA,"03-SVAL-3.5","9/11/2001",1,"Kick:Standard"
"03-TELV-12.8_20100824_6_1",23,8.5,2,3.5,6.73,5.45,NA,NA,6.36,NA,NA,NA,NA,11,8,NA,NA,"03-TELV-12.8","8/24/2010",6,"Kick:Sandy_Stream"
"03-THOM-0.7_19990812_1_1",11,2.79,5,4.72,5.54,6.2,NA,NA,4.03,38,3.15,6.68,3.3,NA,NA,NA,NA,"03-THOM-0.7","8/12/1999",1,"Kick:Standard"
"03-THOM-0.7_20000810_1_1",14,3.68,4,4.17,5.24,6.57,NA,NA,4.41,50,5.16,7.02,2.45,NA,NA,NA,NA,"03-THOM-0.7","8/10/2000",1,"Kick:Standard"
"03-THOM-0.7_20040914_1_1",17,4.56,6,5.45,5.69,6.01,NA,NA,4.33,41,3.63,7.19,2.02,NA,NA,NA,NA,"03-THOM-0.7","9/14/2004",1,"Kick:Standard"
"03-THOM-0.7_20150722_1_1",12,3.09,4,4.17,6.78,4.65,NA,NA,3.89,43,3.95,6.57,3.57,NA,NA,NA,NA,"03-THOM-0.7","7/22/2015",1,"Kick:Standard"
"03-TROB-0.6_20060725_1_1",24,6.76,14,9.5,3.67,8.33,NA,NA,7.87,65,7.6,5.14,7.15,NA,NA,NA,NA,"03-TROB-0.6","7/25/2006",1,"Kick:Standard"
"03-TROB-0.6_20150722_1_1",21,5.88,12,8.5,4.71,7.24,NA,NA,6.57,53,5.65,5.76,5.6,NA,NA,NA,NA,"03-TROB-0.6","7/22/2015",1,"Kick:Standard"
"03-TROB-8.1_20150722_1_1",28,8.06,16,10,4.28,7.72,NA,NA,8.28,79,8.94,5.33,6.67,NA,NA,NA,NA,"03-TROB-8.1","7/22/2015",1,"Kick:Standard"
"03-WCAN-20.0_19900626_2_1",24,9,5,7,8.17,4.58,2.125025866,3.13,5.93,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","6/26/1990",2,"Multiplate:Navigable"
"03-WCAN-20.0_19900731_2_1",21,7.27,4,6,7.46,6.35,2.945304352,7.23,6.71,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","7/31/1990",2,"Multiplate:Navigable"
"03-WCAN-20.0_19900905_2_1",25,9.5,9,9.5,6.36,9.1,3.672365494,10,9.53,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","9/5/1990",2,"Multiplate:Navigable"
"03-WCAN-20.0_19950718_2_1",21,7.27,3,4.5,6.42,8.95,2.96104029,7.31,7.01,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","7/18/1995",2,"Multiplate:Navigable"
"03-WCAN-20.0_19950822_2_1",17,5.45,5,7,6.17,9.57,2.315616501,4.08,6.53,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","8/22/1995",2,"Multiplate:Navigable"
"03-WCAN-20.0_19950926_2_1",27,10,10,10,6.06,9.85,3.21331186,8.57,9.61,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","9/26/1995",2,"Multiplate:Navigable"
"03-WCAN-20.0_19990915_2_1",23,8.5,9,9.5,7,7.5,3.828109861,10,8.88,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","9/15/1999",2,"Multiplate:Navigable"
"03-WCAN-20.0_20040707_2_1",15,4.32,6,8,5.99,10,2.926324986,7.13,7.36,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","7/7/2004",2,"Multiplate:Navigable"
"03-WCAN-20.0_20040810_2_1",24,9,9,9.5,6.04,9.9,3.272913098,8.86,9.31,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","8/10/2004",2,"Multiplate:Navigable"
"03-WCAN-20.0_20040914_2_1",20,6.82,9,9.5,5.22,10,3.314795045,9.07,8.85,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","9/14/2004",2,"Multiplate:Navigable"
"03-WCAN-20.0_20090714_2_1",24,9,6,8,6.35,9.12,3.839016382,10,9.03,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","7/14/2009",2,"Multiplate:Navigable"
"03-WCAN-20.0_20090817_2_1",14,3.86,5,7,6.22,9.45,2.955195943,7.28,6.9,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","8/17/2009",2,"Multiplate:Navigable"
"03-WCAN-20.0_20090922_2_1",26,10,8,9,6.03,9.92,3.767164095,10,9.73,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","9/22/2009",2,"Multiplate:Navigable"
"03-WCAN-20.0_20140716_2_1",19,6.36,6,8,6.7,8.25,3.105494149,8.03,7.66,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","7/16/2014",2,"Multiplate:Navigable"
"03-WCAN-20.0_20140820_2_1",19,6.36,6,8,6.9,7.75,3.329884995,9.15,7.82,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","8/20/2014",2,"Multiplate:Navigable"
"03-WCAN-20.0_20140923_2_1",17,5.45,7,8.5,6.6,8.5,3.447060518,9.74,8.05,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","9/23/2014",2,"Multiplate:Navigable"
"03-WCAN-20.0_20190807_2_1",18,5.91,7,8.5,7.22,6.95,2.94095177937911,7.2,7.14,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","8/7/2019",2,"Multiplate:Navigable"
"03-WCAN-20.0_20190807_2_2",20,6.82,8,9,7.27,6.83,2.71534486027806,6.08,7.18,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","8/7/2019",2,"Multiplate:Navigable"
"03-WCAN-20.0_20190807_2_3",16,4.77,4,6,7.41,6.47,2.61415881352697,5.57,5.7,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-20.0","8/7/2019",2,"Multiplate:Navigable"
"03-WCAN-51.8_19900626_2_1",22,8,3,4.5,8.31,4.22,2.836784762,6.68,5.85,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","6/26/1990",2,"Multiplate:Navigable"
"03-WCAN-51.8_19900731_2_1",28,10,7,8.5,7.92,5.2,0.764380979,0,5.92,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","7/31/1990",2,"Multiplate:Navigable"
"03-WCAN-51.8_19900905_2_1",20,6.82,5,7,6.51,8.73,3.455528077,9.78,8.08,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","9/5/1990",2,"Multiplate:Navigable"
"03-WCAN-51.8_19950718_2_1",25,9.5,7,8.5,6.82,7.95,3.294896366,8.97,8.73,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","7/18/1995",2,"Multiplate:Navigable"
"03-WCAN-51.8_19950822_2_1",13,3.41,4,6,5.98,10,2.158600281,3.29,5.67,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","8/22/1995",2,"Multiplate:Navigable"
"03-WCAN-51.8_19950926_2_1",21,7.27,4,6,6.1,9.75,3.068390484,7.84,7.71,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","9/26/1995",2,"Multiplate:Navigable"
"03-WCAN-51.8_19990707_2_1",21,7.27,6,8,7.69,5.77,2.827560344,6.64,6.92,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","7/7/1999",2,"Multiplate:Navigable"
"03-WCAN-51.8_19990811_2_1",21,7.27,4,6,7.22,6.95,2.942339528,7.21,6.86,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","8/11/1999",2,"Multiplate:Navigable"
"03-WCAN-51.8_19990916_2_1",10,1.43,3,4.5,7.39,6.53,2.496275312,4.98,4.36,NA,NA,NA,NA,NA,NA,NA,NA,"03-WCAN-51.8","9/16/1999",2,"Multiplate:Navigable"
